,Length,Width,Views from last 7 days,Price in Euros,clusters,cluster
922,-0.686435011401797,-0.8337843331446082,0.12208714188705411,-0.23603775559685114,1,light pink
923,-0.710656637134603,-0.8508260699804212,-0.15389174726137472,-0.2424141121046331,1,light pink
924,-0.9286512687298566,-1.2598277540399319,-0.5774872515357073,-0.24447092666755696,1,light pink
925,-0.65183268892636,-0.7485756489655434,-0.3015083623872785,-0.23662773052772357,1,light pink
926,-0.9303813848536283,-1.080889517263896,0.00014298156565532253,-0.2425101276325986,1,light pink
927,-0.5826280439754858,-0.7485756489655434,0.08999657338142285,-0.23615575058302563,1,light pink
928,-0.4096164315983005,-1.2598277540399319,0.7189717160917956,-0.24258532051594509,1,light pink
929,-0.8456056947888075,-0.8678678068162342,-0.6994314118571061,-0.24258647732953503,1,light pink
930,-0.17778087101287218,-0.19471920180162286,0.8216615353098156,-0.24507246973432886,1,light pink
931,-0.6085797858320637,-0.5781582806074143,0.14134148299043287,-0.24310704344501072,1,light pink
932,-0.13279785179480405,0.018302508646038943,0.10283280078367535,-0.24316372731091807,0,beige
933,-0.617230366450923,-0.45034525433881684,-0.28867213498502603,-0.24316372731091807,1,light pink
934,-0.06359320684392984,0.018302508646038943,0.20552262000169538,-0.24142850692599918,0,beige
935,-0.27466737394409607,-0.32253222807021986,-0.6609227296503486,-0.24142850692599918,1,light pink
936,-0.33176120602856723,-0.024301833443493265,0.1092509144848016,-0.24142850692599918,1,light pink
937,-0.27466737394409607,-0.32253222807021986,0.21835884740394787,-0.24142850692599918,1,light pink
938,-0.6725940824116222,-0.808221727890889,0.4173203721388617,-0.24144007506189863,1,light pink
939,-0.8006226755707394,-0.7911799910550761,0.21835884740394787,-0.23497580072128077,1,light pink
940,-0.9390319654724876,-0.7997008594729823,-0.4555430912143085,-0.24157889269269214,1,light pink
941,-0.9390319654724876,-0.7997008594729823,-0.7507763214661162,-0.24157889269269214,1,light pink
942,-0.9390319654724876,-0.7997008594729823,-0.4747974323176873,-0.24157889269269214,1,light pink
943,-0.9390319654724876,-0.7997008594729823,-0.33359893089290976,-0.24157889269269214,1,light pink
944,-0.6258809470697821,-0.8678678068162342,-0.19240042946813224,-0.23976847942442675,1,light pink
945,-0.757369772476443,-0.7826591226371694,-0.5261423419266973,-0.2418449598183797,1,light pink
946,-0.8507960431601231,-0.8508260699804212,0.0065610952667815746,-0.2354477806659787,1,light pink
947,-0.8940489462544194,-0.918993017323673,1.0527136285503607,-0.24188429148043786,1,light pink
948,-0.9390319654724876,-0.7997008594729823,-0.3721076130996673,-0.24192593676967591,1,light pink
949,-0.43037782508356265,-0.45034525433881684,-0.5389785693289498,-0.2408501001310262,1,light pink
950,-0.43037782508356265,-0.45034525433881684,-0.417034409007551,-0.2408501001310262,1,light pink
951,-0.6483724566788163,-0.7826591226371694,0.012979208967907826,-0.2408501001310262,1,light pink
952,0.19592421172184818,0.10351119282510374,0.1734320514960641,-0.2408501001310262,0,beige
953,-0.39058515423681023,-0.45034525433881684,0.6483724653794067,-0.2408501001310262,1,light pink
954,-0.7590998886002148,-0.6037208858611335,-0.5774872515357073,-0.2408501001310262,1,light pink
955,-0.5480257215000489,-0.6974504384581046,-0.5646510241334548,-0.2408501001310262,1,light pink
956,0.0696257346865028,0.1716781401683556,0.3210486666219679,-0.2408501001310262,0,beige
957,-0.6345315276886414,-0.6633669647864786,0.19268639259944287,-0.2408501001310262,1,light pink
958,-0.5428353731287332,-0.5866791490253205,-0.4555430912143085,-0.2408501001310262,1,light pink
959,-0.6241508309460104,-0.5270330700999754,1.2516751532852743,-0.24085125694461615,1,light pink
960,-0.08089436808164832,0.23132421909370074,1.4891453602269458,-0.23485780573510628,0,beige
961,-0.4096164315983005,-0.40774091224928466,0.5200101913568818,-0.2408501001310262,1,light pink
962,-0.3750141091228636,-0.45034525433881684,-0.7571944351672424,-0.2408501001310262,1,light pink
963,-0.3750141091228636,-0.23732354389115506,-0.46837931861656107,-0.2408501001310262,1,light pink
964,-0.5376450247574177,-0.49294959642834946,-0.6609227296503486,-0.2408501001310262,1,light pink
965,-0.4788210765491747,-0.4247826490850976,-0.21165477057151097,-0.2408501001310262,1,light pink
966,-0.004769258635686852,-0.6633669647864786,-0.417034409007551,-0.2408501001310262,1,light pink
